time_s,gsr_us
432.818,78.956522
433.069,80.530973
433.320,78.956522
433.571,78.956522
433.822,78.956522
434.073,78.189655
434.324,78.189655
434.576,78.189655
434.827,78.189655
435.078,79.736842
435.329,80.530973
435.580,82.162162
435.831,82.162162
436.082,81.339286
436.333,80.530973
436.584,79.736842
436.835,78.189655
437.086,78.189655
437.338,78.189655
437.590,78.956522
437.842,82.162162
438.094,81.339286
438.345,81.339286
438.597,81.339286
438.849,80.530973
439.101,78.956522
439.353,78.189655
439.605,77.435897
439.858,78.956522
440.109,80.530973
440.361,82.162162
440.613,83.000000
440.865,83.853211
441.117,83.000000
441.369,82.162162
441.621,80.530973
441.873,79.736842
442.125,79.736842
442.377,80.530973
442.628,79.736842
442.880,79.736842
443.132,79.736842
443.384,81.339286
443.636,82.162162
443.888,79.736842
444.140,80.530973
444.392,80.530973
444.644,79.736842
444.896,81.339286
445.148,80.530973
445.400,79.736842
445.651,80.530973
445.903,78.956522
446.155,78.189655
446.407,75.966387
446.659,77.435897
446.911,78.956522
447.162,82.162162
447.414,84.722222
447.666,85.607477
447.918,84.722222
448.170,84.722222
448.422,83.853211
448.674,80.530973
448.926,80.530973
449.177,79.736842
449.430,82.162162
449.681,82.162162
449.933,84.722222
450.185,85.607477
450.437,86.509434
450.689,86.509434
450.940,85.607477
451.191,84.722222
451.442,83.000000
451.693,82.162162
451.944,81.339286
452.195,80.530973
452.446,80.530973
452.697,80.530973
452.948,79.736842
453.199,81.339286
453.450,79.736842
453.701,78.956522
453.952,78.956522
454.203,78.956522
454.454,79.736842
454.705,80.530973
454.956,82.162162
455.208,83.000000
455.459,83.000000
455.710,82.162162
455.962,80.530973
456.214,80.530973
456.466,82.162162
456.718,83.000000
456.970,82.162162
457.222,81.339286
457.474,80.530973
457.726,79.736842
457.978,78.189655
458.230,78.189655
458.482,78.189655
458.733,77.435897
458.985,78.189655
459.237,78.189655
459.489,77.435897
459.741,77.435897
459.993,76.694915
460.245,75.250000
460.497,75.966387
460.749,77.435897
461.001,80.530973
461.252,84.722222
461.504,87.428571
461.756,87.428571
462.008,86.509434
462.260,87.428571
462.512,86.509434
462.763,84.722222
463.015,83.853211
463.267,83.000000
463.519,82.162162
463.770,83.853211
464.023,82.162162
464.274,81.339286
464.527,83.000000
464.779,84.722222
465.031,84.722222
465.283,83.853211
465.534,83.853211
465.786,83.000000
466.038,83.853211
466.290,83.853211
466.542,83.000000
466.794,82.162162
467.046,82.162162
467.298,80.530973
467.550,78.956522
467.801,78.189655
468.053,78.956522
468.305,81.339286
468.557,83.000000
468.808,83.853211
469.060,83.853211
469.312,83.000000
469.564,83.853211
469.816,83.000000
470.068,80.530973
470.320,79.736842
470.572,78.956522
470.824,79.736842
471.075,79.736842
471.327,79.736842
471.579,79.736842
471.831,80.530973
472.082,81.339286
472.335,80.530973
472.586,80.530973
472.838,78.189655
473.090,79.736842
473.342,79.736842
473.594,79.736842
473.846,78.956522
474.098,78.956522
474.350,78.189655
474.602,76.694915
474.854,75.966387
475.106,74.545455
475.357,75.250000
475.609,76.694915
475.861,75.966387
476.113,75.966387
476.366,75.966387
476.617,75.250000
476.869,74.545455
477.121,74.545455
477.373,75.250000
477.624,78.189655
477.876,79.736842
478.128,80.530973
478.380,83.000000
478.632,82.162162
478.884,82.162162
479.136,81.339286
479.388,80.530973
479.640,79.736842
479.892,78.956522
480.144,78.956522
480.395,79.736842
480.647,78.956522
480.899,78.189655
481.152,78.956522
481.403,78.189655
481.656,78.956522
481.908,78.956522
482.159,78.189655
482.411,79.736842
482.663,80.530973
482.915,81.339286
483.167,80.530973
483.419,80.530973
483.671,79.736842
483.922,78.189655
484.175,76.694915
484.426,75.250000
484.678,75.966387
484.930,78.189655
485.182,81.339286
485.434,86.509434
485.686,89.320388
485.938,88.365385
486.190,88.365385
486.442,87.428571
486.694,86.509434
486.946,87.428571
487.198,87.428571
487.450,87.428571
487.702,86.509434
487.954,85.607477
488.206,84.722222
488.458,84.722222
488.710,84.722222
488.962,87.428571
489.214,89.320388
489.466,90.294118
489.718,90.294118
489.970,91.287129
490.222,89.320388
490.474,90.294118
490.725,89.320388
490.978,85.607477
491.229,85.607477
491.481,84.722222
491.733,84.722222
491.986,83.853211
492.237,83.853211
492.489,82.162162
492.741,82.162162
492.993,80.530973
493.245,78.189655
493.497,78.189655
493.749,80.530973
494.000,81.339286
494.252,84.722222
494.504,83.853211
494.756,85.607477
495.008,84.722222
495.260,84.722222
495.512,84.722222
495.764,85.607477
496.016,86.509434
496.268,86.509434
496.519,86.509434
496.771,87.428571
497.023,88.365385
497.274,89.320388
497.526,91.287129
497.778,91.287129
498.029,89.320388
498.281,89.320388
498.533,89.320388
498.785,89.320388
499.037,90.294118
499.289,91.287129
499.541,90.294118
499.793,89.320388
500.045,87.428571
500.297,86.509434
500.548,84.722222
500.801,83.853211
501.052,83.000000
501.304,83.853211
501.556,82.162162
501.809,82.162162
502.060,82.162162
502.312,81.339286
502.564,78.956522
502.816,78.189655
503.068,77.435897
503.320,78.189655
503.572,78.189655
503.823,78.956522
504.075,78.956522
504.327,78.956522
504.579,78.189655
504.830,77.435897
505.081,76.694915
505.332,77.435897
505.583,77.435897
505.834,75.250000
506.085,76.694915
506.336,78.189655
506.587,80.530973
506.838,81.339286
507.089,83.000000
507.340,83.853211
507.591,84.722222
507.842,84.722222
508.093,83.853211
508.344,83.853211
508.595,83.853211
508.846,83.000000
509.097,83.000000
509.349,82.162162
509.600,81.339286
509.852,78.956522
510.104,78.956522
510.355,79.736842
510.607,80.530973
510.859,82.162162
511.111,83.853211
511.363,86.509434
511.615,87.428571
511.867,89.320388
512.118,88.365385
512.370,85.607477
512.622,86.509434
512.875,87.428571
513.126,87.428571
513.379,86.509434
513.630,85.607477
513.882,84.722222
514.134,83.000000
514.386,81.339286
514.638,82.162162
514.890,83.853211
515.142,87.428571
515.394,89.320388
515.645,90.294118
515.896,89.320388
516.147,89.320388
516.398,90.294118
516.649,89.320388
516.900,88.365385
517.151,87.428571
517.402,86.509434
517.653,87.428571
517.904,87.428571
518.156,90.294118
518.407,91.287129
518.658,91.287129
518.909,90.294118
519.160,91.287129
519.411,91.287129
519.662,90.294118
519.913,89.320388
520.164,88.365385
520.415,87.428571
520.667,86.509434
520.919,86.509434
521.171,86.509434
521.423,83.853211
